DISTRICT,Trend_Slope
UKHRUL,3.426373626373627
NAGPUR COMMR.,3.334065934065929
C.I.D.,3.3186813186813193
KAMENG EAST,3.208791208791209
KARGIL,2.782417582417582
KHARAGPUR G.R.P.,2.5734265734265724
MAMIT,2.558241758241759
R.P.O.,2.4615384615384612
LEH,2.3516483516483513
DHANBAD RLY.,2.0384615384615383
HAPUR,1.9999999999999996
KHOWAI,1.9999999999999996
RAILWAYS KATRA,1.9999999999999993
VALSAD,1.953846153846145
KINNAUR,1.912087912087912
JAMSHEDPUR RLY.,1.8021978021978016
BISHNUPUR,1.6637362637362658
LAKSHADWEEP,1.5868131868131865
DHAMTARI,1.2593406593406535
FAZILKA,1.1999999999999993
ANJAW,1.0285714285714287
CHAMPHAI,0.9186813186813183
RAILWAYS JAMMU,0.8999999999999997
ZUNHEBOTO,0.8901098901098901
PHEK,0.8791208791208791
CID,0.7631578947368423
TRICHY RLY.,0.6978021978021975
D AND N HAVELI,0.6678321678321665
SENAPATI,0.6241758241758241
GAJAPATI,0.5560439560439561
TIRAP,0.5032967032967035
KIPHIRE,0.4791208791208791
SINDHUDURG,0.3934065934065931
LONGLENG,0.3214285714285715
K/KUMEY,0.17272727272727337
BALAGHAT,0.07912087912088324
NICOBAR,0.028047464940668773
ZZ TOTAL,0.0
CYBER CELL,0.0
G. R. P.,0.0
CAR,0.0
C. I. D.,0.0
DIU,-0.1758241758241758
KOLASIB,-0.3054945054945055
SIANG UPPER,-0.41098901098901097
BHARUCH,-0.4857142857142885
UPPER DIBANG VALLEY,-0.5000000000000002
SIDHARTHNAGAR,-0.5054945054945055
G.R.P,-0.5769230769230785
KANDHAMAL,-0.5824175824175825
TUENSANG,-0.6131868131868132
PEREN,-0.6263736263736264
SUBANSIRI LOWER,-0.635164835164835
MOKOKCHUNG,-0.6527472527472531
MIRZAPUR,-0.7010989010988979
UDHAMPUR,-0.7340659340659333
TAWANG,-0.7450549450549451
IMPHAL(WEST),-0.9000000000000021
JAINTIA HILLS WEST,-0.9999999999999998
DAMAN,-1.0967032967032966
SERCHHIP,-1.1802197802197805
AKOLA,-1.2373626373626359
GUNTAKAL RLY.,-1.538461538461538
WOKHA,-1.6021978021978027
CHANDEL,-1.8153846153846154
GANDERBAL,-1.887912087912088
TONK,-2.197802197802205
CHAMPAWAT,-2.421978021978022
MALKANGIR,-2.483516483516484
CRIME JAMMU,-2.487912087912088
CHURACHANDPUR,-2.5560439560439563
RUDRA PRAYAG,-2.9186813186813185
MON,-3.0109890109890114
VADODARA RURAL,-3.0351648351648346
ST.RAVIDASNAGAR,-3.0373626373626346
K.G.F.,-3.2747252747252746
GRP RAIPUR,-3.4065934065934065
SPL CELL,-3.8461538461538467
MUZAFFARPUR RLY.,-3.8516483516483513
RAILWAYS KASHMIR,-3.8999999999999995
SIANG EAST,-4.26813186813187
BAGESHWAR,-4.327472527472528
CRIME SRINAGAR,-4.563763066202091
STF,-4.647058823529413
UMARIYA,-5.263736263736267
CID CRIME,-5.399999999999999
LAWNGTLAI,-5.668131868131869
DEORIA,-5.740659340659346
KUPWARA,-5.870329670329664
DIBANG VALLEY,-7.21098901098901
SIANG WEST,-7.287912087912088
JAIPUR,-7.600000000000034
SIROHI,-7.6197802197802185
KOHIMA,-8.107692307692307
SHIMLA,-8.28131868131868
CHICKMAGALUR,-8.406593406593405
BIEO,-8.999999999999996
HAZARIBAGH,-9.573626373626377
RAJSAMAND,-9.701098901098904
GODDA,-9.901098901098907
KARAIKAL,-10.400000000000002
FEROZEPUR,-10.554151624548728
JAINTIA HILLS EAST,-10.999999999999998
RAIBAREILLY,-11.47252747252747
KARUR,-11.551648351648353
ALMORA,-11.589010989010987
GONDIA,-11.615384615384615
PONDICHERRY,-11.642857142857142
EOW,-11.96428571428571
HOWRAH G.R.P.,-12.219780219780226
CHAMOLI,-12.43076923076923
KATIHAR RLY.,-12.510989010989011
GRP,-12.530747639704
AMRELI,-12.813186813186812
ALIRAJPUR,-13.25
LUNGLEI,-13.707692307692309
KORAPUT,-14.182417582417582
HINGOLI,-14.740659340659336
W.RLY VADODARA,-16.09999999999998
PAURI GARHWAL,-16.953846153846154
PRABUDDH NAGAR,-17.999999999999993
UTTARKASHI,-18.421978021978028
SAIHA,-18.90769230769231
TEHRI GARHWAL,-19.285714285714285
SOPORE,-19.400000000000013
PITHORAGARH,-19.435164835164834
YADGIRI,-19.5
ROPAR,-19.951648351648352
DANTEWARA,-20.17142857142857
PORBANDAR,-23.00879120879121
AIZAWL,-23.38241758241758
BHANDARA,-23.441758241758237
JAGDALPUR,-24.367032967032966
SUNDARGARH,-24.819780219780217
BELLARY,-25.43956043956044
JALAUN,-26.457142857142863
BKP CP,-26.999999999999993
CBCID,-27.071428571428562
NILGIRIS,-27.747252747252748
CP JALANDHAR,-28.0
SBS NAGAR,-28.749999999999996
BIDAR,-29.446153846153855
SURENDRANAGAR,-30.68131868131868
JHARGRAM,-30.999999999999986
GRP(RLY),-31.45238095238097
BIJAPUR,-33.71428571428571
SRINAGAR,-33.87692307692308
BHILWARA,-34.15164835164833
D&N HAVELI,-36.99999999999999
BASTI,-37.27472527472526
BUNDI,-38.98461538461539
SOLAN,-39.22197802197802
JODHPUR,-39.79999999999999
BORDER,-39.9
RAJKOT RURAL,-41.45054945054944
GADCHIROLI,-42.31648351648352
EAST GODAVARI,-42.681318681318665
ANAND,-43.1032967032967
BARAMULLA,-44.36483516483518
KHANDWA,-44.61538461538463
SOUTH,-47.761134610599655
BANSWARA,-48.29890109890109
SHAJAPUR,-50.98021978021978
IGI AIRPORT,-51.14545454545455
KOTA,-52.700000000000045
PULWAMA,-52.824175824175825
RAJKOT COMMR.,-55.58241758241759
ETAH,-56.37362637362638
FEROZPUR,-58.65000000000001
UNAKOTI,-65.99999999999996
JHABUA,-66.15384615384615
DEWAS,-66.4
DHARMAPURI,-68.4
MADURAI URBAN,-69.65934065934066
NANDED,-70.16703296703298
CP LUDHIANA,-71.20000000000003
RANCHI,-72.61318681318679
SARGUJA,-73.12307692307691
PERAMBALUR,-73.89890109890109
NORTH-WEST,-77.73333333333338
FARIDABAD,-84.49670329670332
W.RLY,-86.09696969696971
GUNTUR,-86.15824175824176
AMBALA URBAN,-86.99999999999997
BALODA BAZAR,-86.99999999999997
NORTH WEST,-89.19999999999995
NEW DELHI,-89.76703296703295
SIDHI,-91.43736263736264
GUNA,-99.84395604395607
NAGPUR RURAL,-100.010989010989
TIRUPPUR,-101.3428571428571
G.R.P.(RLY),-103.00000000000003
PATIALA,-103.49890109890106
KASGANJ,-106.99999999999997
CHITTOOR,-109.79120879120879
DAKSHIN KANNADA,-116.21428571428571
KOLAR,-124.45054945054946
JUNAGADH,-130.59120879120883
SIPAHIJALA,-130.99999999999997
ERODE,-139.54945054945054
AMETHI,-143.99999999999994
JALANDHAR RURAL,-145.71428571428567
BHAVNAGAR,-149.72087912087912
GOMATI,-160.99999999999997
CUTTACK,-171.6593406593407
PUDUCHERRY,-186.92857142857136
CHITTORGARH,-188.0593406593406
SAMBHAL,-196.9999999999999
BANGALORE RURAL,-211.01648351648356
WARANGAL,-216.5912087912088
PANCHSHIL NAGAR,-293.99999999999983
LUDHIANA,-294.75974025974034
VIJAYAWADA,-330.7999999999999
KHURDA,-366.054945054945
JAIPUR RURAL,-410.36666666666673
RANGA REDDY,-428.2395604395605
COIMBATORE RURAL,-462.032967032967
BDN CP,-954.9999999999998
